Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
18,9238,1,137.0,137.4,1,0,1,0,0,18,6,10,1,12.0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
1,9853,1,140.0,124.6,1,0,1,0,0,18,7,7,6,11.666666666666666,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
18,9556,1,127.0,121.8,1,0,1,0,0,20,7,14,7,11.4375,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
1,9238,1,151.0,157.0,1,1,1,0,1,18,6,8,5,11.6,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
1,9085,1,138.0,131.0,1,0,1,0,0,18,5,9,5,12.666666666666666,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
17,9500,1,127.0,118.8,1,0,1,1,0,19,7,9,6,12.933333333333332,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
44,9003,1,150.0,150.0,0,0,1,1,0,21,6,15,5,11.857142857142858,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
1,9147,1,143.0,138.8,0,0,0,1,0,18,5,9,3,11.333333333333334,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
17,9991,0,154.0,134.1,0,0,1,0,0,24,5,9,2,11.5,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
1,9500,1,139.0,121.3,1,0,1,0,1,19,8,10,6,11.833333333333334,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
1,9773,1,127.0,121.8,1,0,1,0,1,20,6,11,4,14.0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
1,171,1,125.0,115.2,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
17,171,1,133.0,126.0,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
17,9070,1,127.0,130.2,1,0,1,1,0,19,6,6,5,11.4,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
43,9070,1,116.0,120.9,0,0,1,1,0,24,6,6,0,0.0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
39,9254,1,160.0,100.0,0,0,1,1,0,26,6,7,6,12.0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
17,9147,1,148.0,134.0,0,0,1,1,0,18,5,9,0,0.0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
17,9254,1,120.0,125.5,0,0,1,1,0,18,5,6,5,12.0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
